rating,no_of_reviews,url
4,10,https://www.newegg.com/asus-dual-rtx3050-o6g-nvidia-geforce-rtx-3050-6gb-gddr6/p/N82E16814126708
5,110,https://www.newegg.com/asus-dual-rtx4070s-o12g-evo-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814126711
5,110,https://www.newegg.com/asus-dual-rtx4070s-o12g-white-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814126698
5,122,https://www.newegg.com/asus-geforce-rtx-4070-ti-super-tuf-rtx4070tis-o16g-white-gaming/p/N82E16814126701
5,78,https://www.newegg.com/asus-geforce-rtx-4080-super-proart-rtx4080s-o16g/p/N82E16814126704
5,78,https://www.newegg.com/asus-geforce-rtx-4080-super-rog-strix-rtx4080s-o16g-white/p/N82E16814126703
5,78,https://www.newegg.com/asus-geforce-rtx-4080-super-tuf-rtx4080s-16g-gaming/p/N82E16814126694
5,287,https://www.newegg.com/asus-geforce-rtx-4090-rog-strix-rtx4090-o24g-gaming/p/N82E16814126593
5,287,https://www.newegg.com/asus-geforce-rtx-4090-rog-strix-rtx4090-o24g-white/p/N82E16814126616
5,287,https://www.newegg.com/asus-geforce-rtx-4090-tuf-rtx4090-o24g-gaming/p/N82E16814126594
5,122,https://www.newegg.com/asus-rog-strix-rtx4070tis-o16g-gaming-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814126695
5,122,https://www.newegg.com/asus-tuf-gaming-tuf-rtx4070tis-o16g-gaming-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814126685
5,78,https://www.newegg.com/asus-tuf-gaming-tuf-rtx4080s-o16g-gaming-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814126693
5,287,https://www.newegg.com/asus-tuf-gaming-tuf-rtx4090-o24g-og-gaming-nvidia-geforce-rtx-4090-24gb-gddr6x/p/N82E16814126658
5,78,https://www.newegg.com/asus-video-card-proart-rtx4080s-16g-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814126734
5,64,https://www.newegg.com/gigabyte-gv-n4060aero-oc-8gd-nvidia-geforce-rtx-4060-8gb-gddr6/p/N82E16814932627
3,0,https://www.newegg.com/gigabyte-gv-n4070aero-ocv2-12gd-nvidia-geforce-rtx-4070-12gb-gddr6x/p/N82E16814932684R
5,97,https://www.newegg.com/gigabyte-gv-n407saero-oc-12gd-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814932680
5,97,https://www.newegg.com/gigabyte-gv-n407sgaming-oc-12gd-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814932681
5,103,https://www.newegg.com/gigabyte-gv-n407tsgaming-oc-16gd-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814932676
5,108,https://www.newegg.com/gigabyte-gv-n408saero-oc-16gd-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814932670
5,108,https://www.newegg.com/gigabyte-gv-n408sgaming-oc-16gd-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814932671
5,416,https://www.newegg.com/gigabyte-gv-n4090aero-oc-24gd-nvidia-geforce-rtx-4090-24gb-gddr6x/p/N82E16814932601
5,416,https://www.newegg.com/gigabyte-gv-n4090gaming-oc-24gd-nvidia-geforce-rtx-4090-24gb-gddr6x/p/N82E16814932550
5,64,https://www.newegg.com/gigabyte-windforce-gv-n4060wf2oc-8gd-nvidia-geforce-rtx-4060-8gb-gddr6/p/N82E16814932630
5,278,https://www.newegg.com/gigabyte-windforce-gv-n4070wf3oc-12gd-nvidia-geforce-rtx-4070-12gb-gddr6x/p/N82E16814932737
5,97,https://www.newegg.com/gigabyte-windforce-gv-n407swf3oc-12gd-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814932683
5,103,https://www.newegg.com/gigabyte-windforce-gv-n407tswf3max-oc-16gd-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814932735
5,108,https://www.newegg.com/gigabyte-windforce-gv-n408swf3v2-16gd-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814932672
5,6,https://www.newegg.com/gigabyte-windforce-oc-gv-n3060wf2oc-12gd-rev2-0-nvidia-geforce-rtx-3060-12gb-gddr6/p/N82E16814932658
4,8,https://www.newegg.com/msi-geforce-rtx-3060-ti-rtx-3060-ti-ventus-2x-8g-ocv1-lhr/p/N82E16814137748
5,54,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-ventus-3x-plus-10g-oc-lhr/p/N82E16814137686
5,180,https://www.newegg.com/msi-rtx-3050-aero-itx-8g-oc-nvidia-geforce-rtx-3050-8gb-gddr6/p/N82E16814137729
5,9,https://www.newegg.com/msi-rtx-3050-ventus-2x-6g-oc-nvidia-geforce-rtx-3050-6gb-gddr6/p/N82E16814137878
5,180,https://www.newegg.com/msi-rtx-3050-ventus-2x-xs-8g-oc-nvidia-geforce-rtx-3050-8gb-gddr6/p/N82E16814137810
5,1091,https://www.newegg.com/msi-rtx-3060-ventus-2x-12g-oc-nvidia-geforce-rtx-3060-12gb-gddr6/p/N82E16814137632
5,3,https://www.newegg.com/msi-rtx-3060-ventus-2x-8g-oc-nvidia-geforce-rtx-3060-8gb-gddr6/p/N82E16814137892
5,1091,https://www.newegg.com/msi-rtx-3060-ventus-3x-12g-oc-nvidia-geforce-rtx-3060-12gb-gddr6/p/N82E16814137631
5,57,https://www.newegg.com/msi-rtx-4060-ti-ventus-2x-black-16g-oc-nvidia-geforce-rtx-4060-ti-16gb-gddr6/p/N82E16814137818
5,40,https://www.newegg.com/msi-rtx-4060-ti-ventus-2x-black-8g-oc-nvidia-geforce-rtx-4060-ti-8gb-gddr6/p/N82E16814137799
5,98,https://www.newegg.com/msi-rtx-4060-ventus-2x-black-8g-oc-nvidia-geforce-rtx-4060-8gb-gddr6/p/N82E16814137804
5,86,https://www.newegg.com/msi-rtx-4070-super-12g-gaming-x-slim-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814137860
5,86,https://www.newegg.com/msi-rtx-4070-super-12g-ventus-2x-oc-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814137861
5,86,https://www.newegg.com/msi-rtx-4070-super-12g-ventus-2x-white-oc-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814137862
5,86,https://www.newegg.com/msi-rtx-4070-super-12g-ventus-3x-oc-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814137863
5,87,https://www.newegg.com/msi-rtx-4070-ti-super-16g-gaming-x-slim-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814137855
5,87,https://www.newegg.com/msi-rtx-4070-ti-super-16g-gaming-x-trio-white-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814137859
5,152,https://www.newegg.com/msi-rtx-4070-ventus-3x-e1-12g-oc-nvidia-geforce-rtx-4070-12gb-gddr6/p/N82E16814137896
5,90,https://www.newegg.com/msi-rtx-4080-super-16g-expert-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814137871
5,90,https://www.newegg.com/msi-rtx-4080-super-16g-gaming-x-slim-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814137886
5,90,https://www.newegg.com/msi-rtx-4080-super-16g-suprim-x-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814137853
5,90,https://www.newegg.com/msi-rtx-4080-super-16g-ventus-3x-oc-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814137852
5,87,https://www.newegg.com/msi-ventus-rtx-4070-ti-super-16g-shadow-3x-oc-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814137898
5,30,https://www.newegg.com/zotac-gaming-zt-d40600h-10m-nvidia-geforce-rtx-4060-8gb-gddr6/p/N82E16814500565
5,30,https://www.newegg.com/zotac-solo-zt-d40600g-10l-nvidia-geforce-rtx-4060-8gb-gddr6/p/N82E16814500558
5,56,https://www.newegg.com/zotac-trinity-zt-d40730d-10p-nvidia-geforce-rtx-4070-ti-super-16gb-gddr6x/p/N82E16814500576
4,50,https://www.newegg.com/zotac-trinity-zt-d40820q-10p-nvidia-geforce-rtx-4080-super-16gb-gddr6x/p/N82E16814500581
4,10,https://www.newegg.com/zotac-twin-edge-oc-zt-a30600p-10m-nvidia-geforce-rtx-3060-12gb-gddr6/p/N82E16814500574
5,29,https://www.newegg.com/zotac-twin-edge-zt-d40720e-10m-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814500572
5,29,https://www.newegg.com/zotac-twin-edge-zt-d40720h-10m-nvidia-geforce-rtx-4070-super-12gb-gddr6x/p/N82E16814500573
